class,canonical,status,oc_names,swift_names,oc_support_names,oc_files,swift_files,oc_support_files
UIGestureRecognizer,allowedtouchtypes,aligned,byAllowedTouchTypes,byAllowedTouchTypes,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:29; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:59,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:65,
UIGestureRecognizer,buttonmask,swift_only,,byButtonMask,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:101,
UIGestureRecognizer,cancelstouchesinview,aligned,byCancelsTouchesInView,byCancelsTouchesInView,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:26; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:32,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:46,
UIGestureRecognizer,config,swift_only,,byConfig,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+Block.swift:26; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+Block.swift:44,
UIGestureRecognizer,delaystouchesbegan,aligned,byDelaysTouchesBegan,byDelaysTouchesBegan,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:27; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:41,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:52,
UIGestureRecognizer,delaystouchesended,aligned,byDelaysTouchesEnded,byDelaysTouchesEnded,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:28; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:50,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:58,
UIGestureRecognizer,delegate,aligned,byDelegate,byDelegate,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:24; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:14,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:34,
UIGestureRecognizer,enabled,aligned,byEnabled,byEnabled,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:25; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:23,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:40,
UIGestureRecognizer,gesturerecognizer,oc_only,byGestureRecognizer,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:23; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:8,,
UIGestureRecognizer,locationinview,oc_only,byLocationInView,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:34; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:104,,
UIGestureRecognizer,modifierflags,swift_only,,byModifierFlags,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:93,
UIGestureRecognizer,name,aligned,byName,byName,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:32; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:86,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:86,
UIGestureRecognizer,requiregesturerecognizertofail,oc_only,byRequireGestureRecognizerToFail,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:33; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:95,,
UIGestureRecognizer,requiresexclusivetouchtype,aligned,byRequiresExclusiveTouchType,byRequiresExclusiveTouchType,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.h:31; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIGestureRecognizer+DSLs/UIGestureRecognizer+DSL/UIGestureRecognizer+DSL.m:77,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:79,
UIGestureRecognizer,requiretofail,swift_only,,byRequireToFail,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:107,
UIGestureRecognizer,target,swift_only,,byTarget,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+DSL.swift:26,
UIImage,addimage,support_only,,,addImage,,,JobsByPods/JobsByOCPods@Pods/Core/UIKit/UIImage/UIImage+Overlay/UIImage+Overlay.h:17; JobsByPods/JobsByOCPods@Pods/Core/UIKit/UIImage/UIImage+Overlay/UIImage+Overlay.m:12
UIImagePickerController,allowsediting,swift_only,,byAllowsEditing,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:36,
UIImagePickerController,cameracapturemode,swift_only,,byCameraCaptureMode,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:92,
UIImagePickerController,cameradevice,swift_only,,byCameraDevice,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:99,
UIImagePickerController,cameraflashmode,swift_only,,byCameraFlashMode,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:106,
UIImagePickerController,cameraoverlayview,swift_only,,byCameraOverlayView,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:78,
UIImagePickerController,cameraviewtransform,swift_only,,byCameraViewTransform,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:85,
UIImagePickerController,config,swift_only,,byConfig,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:112,
