class,api_kind,api_name,selector_arity,expected_dsl,canonical,readonly,class_member,sdk_file,sdk_line,declaration
UIView,instance_method,setNeedsUpdateProperties,0,bySetNeedsUpdateProperties,setneedsupdateproperties,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,250,"- (void)setNeedsUpdateProperties API_AVAILABLE(ios(26.0), tvos(26.0), visionos(26.0)) API_UNAVAILABLE(watchos);"
UIView,instance_method,updateProperties,0,byUpdateProperties,updateproperties,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,253,"- (void)updateProperties NS_REQUIRES_SUPER API_AVAILABLE(ios(26.0), tvos(26.0), visionos(26.0)) API_UNAVAILABLE(watchos);"
UIView,instance_method,updatePropertiesIfNeeded,0,byUpdatePropertiesIfNeeded,updatepropertiesifneeded,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,256,"- (void)updatePropertiesIfNeeded API_AVAILABLE(ios(26.0), tvos(26.0), visionos(26.0)) API_UNAVAILABLE(watchos);"
UIView,instance_method,setNeedsLayout,0,bySetNeedsLayout,setneedslayout,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,259,- (void)setNeedsLayout;
UIView,instance_method,layoutIfNeeded,0,byLayoutIfNeeded,layoutifneeded,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,260,- (void)layoutIfNeeded;
UIView,instance_method,layoutSubviews,0,byLayoutSubviews,layoutsubviews,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,262,- (void)layoutSubviews;
UIView,property,layoutMargins,,byLayoutMargins,layoutmargins,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,265,@property (nonatomic) UIEdgeInsets layoutMargins API_AVAILABLE(ios(8.0));
UIView,property,directionalLayoutMargins,,byDirectionalLayoutMargins,directionallayoutmargins,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,268,"@property (nonatomic) NSDirectionalEdgeInsets directionalLayoutMargins API_AVAILABLE(ios(11.0), tvos(11.0)) API_UNAVAILABLE(watchos);"
UIView,property,preservesSuperviewLayoutMargins,,byPreservesSuperviewLayoutMargins,preservessuperviewlayoutmargins,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,270,@property (nonatomic) BOOL preservesSuperviewLayoutMargins API_AVAILABLE(ios(8.0));
UIView,property,insetsLayoutMarginsFromSafeArea,,byInsetsLayoutMarginsFromSafeArea,insetslayoutmarginsfromsafearea,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,271,"@property (nonatomic) BOOL insetsLayoutMarginsFromSafeArea API_AVAILABLE(ios(11.0), tvos(11.0)) API_UNAVAILABLE(watchos);"
UIView,instance_method,layoutMarginsDidChange,0,byLayoutMarginsDidChange,layoutmarginsdidchange,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,273,- (void)layoutMarginsDidChange API_AVAILABLE(ios(8.0));
UIView,property,safeAreaInsets,,bySafeAreaInsets,safeareainsets,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,275,"@property (nonatomic,readonly) UIEdgeInsets safeAreaInsets API_AVAILABLE(ios(11.0), tvos(11.0)) API_UNAVAILABLE(watchos);"
UIView,instance_method,safeAreaInsetsDidChange,0,bySafeAreaInsetsDidChange,safeareainsetsdidchange,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,276,"- (void)safeAreaInsetsDidChange API_AVAILABLE(ios(11.0), tvos(11.0)) API_UNAVAILABLE(watchos);"
UIView,property,layoutMarginsGuide,,byLayoutMarginsGuide,layoutmarginsguide,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,279,"@property(readonly,strong) UILayoutGuide *layoutMarginsGuide API_AVAILABLE(ios(9.0));"
UIView,property,readableContentGuide,,byReadableContentGuide,readablecontentguide,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,282,"@property (nonatomic, readonly, strong) UILayoutGuide *readableContentGuide API_AVAILABLE(ios(9.0));"
UIView,property,safeAreaLayoutGuide,,bySafeAreaLayoutGuide,safearealayoutguide,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,285,"@property(nonatomic,readonly,strong) UILayoutGuide *safeAreaLayoutGuide API_AVAILABLE(ios(11.0), tvos(11.0)) API_UNAVAILABLE(watchos);"
UIView,property,keyboardLayoutGuide,,byKeyboardLayoutGuide,keyboardlayoutguide,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,288,"@property(nonatomic,readonly,strong) UIKeyboardLayoutGuide *keyboardLayoutGuide API_AVAILABLE(ios(15.0)) API_UNAVAILABLE(tvos) API_UNAVAILABLE(watchos);"
UIView,instance_method,drawRect,1,byDrawRect,drawrect,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,294,- (void)drawRect:(CGRect)rect;
UIView,instance_method,setNeedsDisplay,0,bySetNeedsDisplay,setneedsdisplay,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,296,- (void)setNeedsDisplay;
UIView,instance_method,setNeedsDisplayInRect,1,bySetNeedsDisplayInRect,setneedsdisplayinrect,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,297,- (void)setNeedsDisplayInRect:(CGRect)rect;
UIView,property,clipsToBounds,,byClipsToBounds,clipstobounds,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,299,@property(nonatomic) BOOL clipsToBounds;
UIView,property,backgroundColor,,byBackgroundColor,backgroundcolor,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,300,"@property(nullable, nonatomic,copy) UIColor *backgroundColor UI_APPEARANCE_SELECTOR;"
UIView,property,alpha,,byAlpha,alpha,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,301,@property(nonatomic) CGFloat alpha;
UIView,property,opaque,,byOpaque,opaque,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,302,"@property(nonatomic,getter=isOpaque) BOOL opaque;"
UIView,property,clearsContextBeforeDrawing,,byClearsContextBeforeDrawing,clearscontextbeforedrawing,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,303,@property(nonatomic) BOOL clearsContextBeforeDrawing;
UIView,property,hidden,,byHidden,hidden,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,304,"@property(nonatomic,getter=isHidden) BOOL hidden;"
UIView,property,contentMode,,byContentMode,contentmode,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,305,@property(nonatomic) UIViewContentMode contentMode;
UIView,property,contentStretch,,byContentStretch,contentstretch,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,306,"@property(nonatomic) CGRect contentStretch API_DEPRECATED("""", ios(3.0, 6.0)) API_UNAVAILABLE(tvos) API_UNAVAILABLE(visionos, watchos);"
UIView,property,maskView,,byMaskView,maskview,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,308,"@property(nullable, nonatomic,strong) UIView *maskView API_AVAILABLE(ios(8.0));"
UIView,property,tintColor,,byTintColor,tintcolor,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,311,"@property(null_resettable, nonatomic, strong) UIColor *tintColor API_AVAILABLE(ios(7.0));"
UIView,property,tintAdjustmentMode,,byTintAdjustmentMode,tintadjustmentmode,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,314,@property(nonatomic) UIViewTintAdjustmentMode tintAdjustmentMode API_AVAILABLE(ios(7.0));
UIView,instance_method,tintColorDidChange,0,byTintColorDidChange,tintcolordidchange,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,317,- (void)tintColorDidChange API_AVAILABLE(ios(7.0));
UIView,class_method,setAnimationsEnabled,1,bySetAnimationsEnabled,setanimationsenabled,,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,323,+ (void)setAnimationsEnabled:(BOOL)enabled;
UIView,property,areAnimationsEnabled,,byAreAnimationsEnabled,areanimationsenabled,YES,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,324,"@property(class, nonatomic, readonly) BOOL areAnimationsEnabled;"
UIView,class_method,performWithoutAnimation,1,byPerformWithoutAnimation,performwithoutanimation,,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,325,+ (void)performWithoutAnimation:(void (NS_NOESCAPE ^)(void))actionsWithoutAnimation API_AVAILABLE(ios(7.0));
UIView,property,inheritedAnimationDuration,,byInheritedAnimationDuration,inheritedanimationduration,YES,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,327,"@property(class, nonatomic, readonly) NSTimeInterval inheritedAnimationDuration API_AVAILABLE(ios(9.0));"
UIView,property,gestureRecognizers,,byGestureRecognizers,gesturerecognizers,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,366,"@property(nullable, nonatomic,copy) NSArray<__kindof UIGestureRecognizer *> *gestureRecognizers API_AVAILABLE(ios(3.2));"
UIView,instance_method,addGestureRecognizer,1,byAddGestureRecognizer,addgesturerecognizer,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,368,- (void)addGestureRecognizer:(UIGestureRecognizer*)gestureRecognizer API_AVAILABLE(ios(3.2));
UIView,instance_method,removeGestureRecognizer,1,byRemoveGestureRecognizer,removegesturerecognizer,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,369,- (void)removeGestureRecognizer:(UIGestureRecognizer*)gestureRecognizer API_AVAILABLE(ios(3.2));
UIView,instance_method,gestureRecognizerShouldBegin,1,byGestureRecognizerShouldBegin,gesturerecognizershouldbegin,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,374,- (BOOL)gestureRecognizerShouldBegin:(UIGestureRecognizer *)gestureRecognizer API_AVAILABLE(ios(6.0));
UIView,instance_method,addMotionEffect,1,byAddMotionEffect,addmotioneffect,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,381,- (void)addMotionEffect:(UIMotionEffect *)effect API_AVAILABLE(ios(7.0));
UIView,instance_method,removeMotionEffect,1,byRemoveMotionEffect,removemotioneffect,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,384,- (void)removeMotionEffect:(UIMotionEffect *)effect API_AVAILABLE(ios(7.0));
