class,api_kind,api_name,selector_arity,expected_dsl,canonical,readonly,class_member,sdk_file,sdk_line,declaration,coverage_status,recommended_action,oc_names,swift_names,oc_support_names,oc_files,swift_files,oc_support_files
UIView,property,layerClass,,byLayerClass,layerclass,YES,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,150,"@property(class, nonatomic, readonly) Class layerClass;",missing_both,review_readonly_terminal_or_skip,,,,,,
UIView,property,userInteractionEnabled,,byUserInteractionEnabled,userinteractionenabled,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,156,"@property(nonatomic,getter=isUserInteractionEnabled) BOOL userInteractionEnabled;",covered_both,ok,byUserInteractionEnabled,byUserInteractionEnabled,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:176; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:107,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:208; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:400,
UIView,property,autoresizingMask,,byAutoresizingMask,autoresizingmask,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,213,@property(nonatomic) UIViewAutoresizing autoresizingMask;,covered_both,ok,byAutoresizingMask,byAutoresizingMask,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:206; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:325,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:162; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:354,
UIView,instance_method,sizeThatFits,1,bySizeThatFits,sizethatfits,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,215,- (CGSize)sizeThatFits:(CGSize)size;,missing_oc,review_terminal_query,,bySizeThatFits,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:580,
UIView,instance_method,sizeToFit,0,bySizeToFit,sizetofit,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,216,- (void)sizeToFit;,covered_both,ok,bySizeToFit,bySizeToFit,bySizeToFit,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:244; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:576,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:586,JobsByPods/JobsBaseUI@Pods/Support/UIKit/UIView/UIView+AutoSelfAdaptionSize/UIView+AutoSelfAdaptionSize.h:54; JobsByPods/JobsBaseUI@Pods/Support/UIKit/UIView/UIView+AutoSelfAdaptionSize/UIView+AutoSelfAdaptionSize.m:13; JobsByPods/JobsBaseUI@Pods/Support/UIKit/UIView/UIView+Extra/UIView+Extra.h:102; JobsByPods/JobsBaseUI@Pods/Support/UIKit/UIView/UIView+Extra/UIView+Extra.m:204; JobsByPods/JobsByOCPods@Pods/Core/UIKit/UIView/UIView+AutoSelfAdaptionSize/UIView+AutoSelfAdaptionSize.h:58; JobsByPods/JobsByOCPods@Pods/Core/UIKit/UIView/UIView+AutoSelfAdaptionSize/UIView+AutoSelfAdaptionSize.m:13
UIView,property,superview,,bySuperview,superview,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,222,"@property(nullable, nonatomic,readonly) UIView *superview;",missing_both,review_readonly_terminal_or_skip,,,,,,
UIView,property,subviews,,bySubviews,subviews,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,223,"@property(nonatomic,readonly,copy) NSArray<__kindof UIView *> *subviews;",missing_both,review_readonly_terminal_or_skip,,,,,,
UIView,property,window,,byWindow,window,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,224,"@property(nullable, nonatomic,readonly) UIWindow *window;",missing_both,review_readonly_terminal_or_skip,,,,,,
UIView,instance_method,removeFromSuperview,0,byRemoveFromSuperview,removefromsuperview,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,226,- (void)removeFromSuperview;,covered_both,ok,byRemoveFromSuperview,byRemoveFromSuperview,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:240; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:540,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:556,
UIView,instance_method,addSubview,1,byAddSubview,addsubview,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,230,- (void)addSubview:(UIView *)view;,missing_both_but_oc_support_has,promote_oc_support_and_add_swift_if_needed,,,addSubview,,,JobsByPods/JobsByOCPods@Pods/Core/UIKit/UIView/UIView+Extra/UIView+Extra.h:164; JobsByPods/JobsByOCPods@Pods/Core/UIKit/UIView/UIView+Extra/UIView+Extra.m:759
UIView,instance_method,bringSubviewToFront,1,byBringSubviewToFront,bringsubviewtofront,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,234,- (void)bringSubviewToFront:(UIView *)view;,missing_swift,add_swift_dsl,byBringSubviewToFront,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:230; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:466,,
UIView,instance_method,sendSubviewToBack,1,bySendSubviewToBack,sendsubviewtoback,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,235,- (void)sendSubviewToBack:(UIView *)view;,missing_swift,add_swift_dsl,bySendSubviewToBack,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:232; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:475,,
